country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Germany,17328700000.0,18608000000.0,20352500000.0,20119900000.0,18259100000.0,17445000000.0,14886400000.0,17445000000.0,17910200000.0,19887300000.0,21748100000.0,21980700000.0,17328700000.0,17212400000.0,19654700000.0,21748100000.0,22794800000.0,23143700000.0,19305800000.0,21050300000.0,19538400000,19887300000.0,20934000000.0,20934000000.0,18608000000.0,20468800000.0,18375400000.0
Ghana,2988910000.0,4372880000.0,4675260000.0,4803190000.0,5233500000.0,5721960000.0,6105750000.0,6605840000.0,6291830000.0,6082490000.0,6094120000.0,6629100000.0,6850070000.0,3826270000.0,5175350000.0,6605840000.0,6605840000.0,5035790000.0,3884420000.0,5280020000.0,5628920000,5617290000.0,3733230000.0,6198790000.0,6873330000.0,7001260000.0,0.0
Greece,2802830000.0,3233140000.0,2779570000.0,2360890000.0,1895690000.0,1767760000.0,3105210000.0,2198070000.0,2279480000.0,2605120000.0,3523890000.0,4349620000.0,3884420000.0,3721600000.0,4593850000.0,3698340000.0,2093400000.0,2802830000.0,4768300000.0,4675260000.0,5012530000,5861520000.0,2593490000.0,3314550000.0,5373060000.0,7454830000.0,3826270000.0
Guatemala,553588000.0,1383970000.0,1372340000.0,1477010000.0,1674720000.0,1721240000.0,1721240000.0,1442120000.0,1535160000.0,1639830000.0,1895690000.0,1872430000.0,1849170000.0,2081770000.0,2291110000.0,2523710000.0,2198070000.0,1953840000.0,1849170000.0,3093580000.0,3803010000,3558780000.0,3233140000.0,3686710000.0,2512080000.0,3291290000.0,0.0
Haiti,216318000.0,317499000.0,319825000.0,391931000.0,405887000.0,457059000.0,332618000.0,320988000.0,274468000.0,232600000.0,253534000.0,272142000.0,200036000.0,305869000.0,404724000.0,282609000.0,282609000.0,260512000.0,254697000.0,260512000.0,265164000,270979000.0,153516000.0,181428000.0,207014000.0,176776000.0,0.0
Honduras,1302560000.0,1430490000.0,1744500000.0,1895690000.0,2000360000.0,2279480000.0,2314370000.0,2198070000.0,2256220000.0,1814280000.0,1674720000.0,2035250000.0,2081770000.0,1918950000.0,2139920000.0,2256220000.0,1907320000.0,1616570000.0,1744500000.0,1407230000.0,1721240000,2070140000.0,2209700000.0,2291110000.0,2802830000.0,2965650000.0,0.0
Hungary,154679000.0,153516000.0,168635000.0,168635000.0,158168000.0,177939000.0,194221000.0,158168000.0,166309000.0,160494000.0,162820000.0,207014000.0,216318000.0,154679000.0,181428000.0,177939000.0,186080000.0,194221000.0,170961000.0,204688000.0,202362000,186080000.0,210503000.0,212829000.0,227948000.0,188406000.0,222133000.0
Iceland,3709970000.0,3884420000.0,3954200000.0,4210060000.0,4256580000.0,4210060000.0,4210060000.0,4314730000.0,4465920000.0,4512440000.0,4686890000.0,4768300000.0,5210240000.0,5617290000.0,6047600000.0,6361610000.0,6582580000.0,6978000000.0,7094300000.0,7129190000.0,7024520000,7292010000.0,8396860000.0,12444100000.0,12327800000.0,12560400000.0,12560400000.0
India,51055700000.0,53846900000.0,47450400000.0,57917400000.0,62104200000.0,71640800000.0,72803800000.0,69896300000.0,70477800000.0,82689300000.0,72571200000.0,68965900000.0,74664600000.0,83038200000.0,80828500000.0,74432000000.0,73734200000.0,64081300000.0,75362400000.0,84782700000.0,101762500000,113741400000.0,120952000000.0,110252400000.0,104204800000.0,114439200000.0,0.0
Indonesia,2988910000.0,5035790000.0,4454290000.0,5280020000.0,6687250000.0,5710330000.0,6629100000.0,8815540000.0,7885140000.0,6105750000.0,7536240000.0,8164260000.0,5105570000.0,9676160000.0,9397040000.0,10013430000.0,11630000000.0,9932020000.0,9094660000.0,9676160000.0,10722860000,9618010000.0,11281100000.0,11525330000.0,11385770000.0,17677600000.0,0.0
Iran,5547510000.0,7512980000.0,8385230000.0,7315270000.0,7524610000.0,6082490000.0,7059410000.0,9524970000.0,9827350000.0,7443200000.0,7292010000.0,7396680000.0,6931480000.0,7036150000.0,4942750000.0,3651820000.0,5059050000.0,8047960000.0,11095020000.0,10629820000.0,16049400000,18259100000.0,18026500000.0,5000900000.0,7233860000.0,9524970000.0,0.0
Iraq,610575000.0,600108000.0,2605120000.0,2605120000.0,2605120000.0,2605120000.0,900162000.0,700126000.0,600108000.0,560566000.0,569870000.0,569870000.0,581500000.0,593130000.0,604760000.0,610575000.0,617553000.0,517535000.0,432636000.0,493112000.0,6001080000,6094120000.0,5733590000.0,3489000000.0,3233140000.0,4768300000.0,0.0
Ireland,832708000.0,918770000.0,681518000.0,872250000.0,691985000.0,696637000.0,745483000.0,817589000.0,765254000.0,919933000.0,712919000.0,722223000.0,678029000.0,916444000.0,845501000.0,845501000.0,596619000.0,911792000.0,597782000.0,630346000.0,631509000,724549000.0,667562000.0,968779000.0,902488000.0,598945000.0,707104000.0
Israel,2000360.0,6001080.0,10001800.0,10001800.0,3000540.0,3000540.0,6001080.0,28958700.0,26051200.0,23027400.0,25004500.0,23957800.0,25004500.0,25004500.0,33029200.0,31052100.0,10001800.0,21050300.0,31052100.0,28028300.0,28028300,15002700.0,13956000.0,16049400.0,21980700.0,28958700.0,28028300.0
Italy,41053900000.0,41053900000.0,39542000000.0,40705000000.0,34075900000.0,31633600000.0,42216900000.0,42216900000.0,41402800000.0,44659200000.0,37797500000.0,42100600000.0,41635400000.0,41170200000.0,45357000000.0,44194000000.0,46868900000.0,39542000000.0,36634500000.0,42333200000.0,36053000000,36983400000.0,32796600000.0,41635400000.0,49194900000.0,51172000000.0,46403700000.0
Jamaica,150027000.0,150027000.0,125604000.0,100948400.0,126767000.0,88039100.0,96063800.0,86992400.0,71989700.0,88969500.0,96063800.0,101995100.0,110019800.0,113974000.0,115951100.0,115020700.0,60010800.0,93970400.0,117463000.0,133745000.0,152353000,166309000.0,160494000.0,158168000.0,139560000.0,152353000.0,0.0
Japan,82921900000.0,80828500000.0,74780900000.0,90248800000.0,91760700000.0,89318400000.0,97459400000.0,82573000000.0,95598600000.0,67221400000.0,82107800000.0,80479600000.0,89783600000.0,92574800000.0,86410900000.0,87225000000.0,84201200000.0,82340400000.0,94668200000.0,94086700000.0,76525400000,87573900000.0,73966800000.0,76409100000.0,76874300000.0,82224100000.0,83387100000.0
Jordan,0.0,3000540.0,18956900.0,26981600.0,16979800.0,11001980.0,7001260.0,15002700.0,21980700.0,13956000.0,18026500.0,21980700.0,16979800.0,13025600.0,13956000.0,38960500.0,43031000.0,53032800.0,41053900.0,53032800.0,56987000,51055700.0,61057500.0,61987900.0,58964100.0,61057500.0,0.0
Kazakhstan,0.0,0.0,0.0,0.0,0.0,7361790000.0,7198970000.0,6861700000.0,7629280000.0,9176070000.0,8327080000.0,7326900000.0,6501170000.0,6140640000.0,6129010000.0,7536240000.0,8082850000.0,8885320000.0,8629460000.0,8059590000.0,7861880000,7768840000.0,8175890000.0,7454830000.0,6884960000.0,8024700000.0,0.0
Kenya,2011990000.0,1686350000.0,1907320000.0,2326000000.0,2465560000.0,2477190000.0,2767940000.0,2791200000.0,2988910000.0,3070320000.0,3163360000.0,3349440000.0,3256400000.0,3279660000.0,2430670000.0,1325820000.0,2407410000.0,3116840000.0,3256400000.0,2872610000.0,3023800000,3279660000.0,3489000000.0,2849350000.0,2174810000.0,3430850000.0,0.0
